item_name,duplicate_count,reason,keep_item_code,keep_item_codes,delete_item_code,delete_margin,delete_vendor,delete_hsn,all_margins
AAMCHOOR POWDER,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_09109100_AAMCHOOR_POWDER,SANSHRAY_FOODS_RAW_MATERIAL_09109100_AAMCHOOR_POWDER,SANSHRAY_FOODS_GROCERY_09109100_AAMCHOOR_POWDER,7.0,Sanshray Foods,09109100,7.0|13.16
ALMOND FLAKES (BADAM KATRI),2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_08021100_ALMOND_FLAKES_BADAM_KATRI,SANSHRAY_FOODS_RAW_MATERIAL_08021100_ALMOND_FLAKES_BADAM_KATRI,SANSHRAY_FOODS_GROCERY_08021100_ALMOND_FLAKES_BADAM_KATRI,7.0,Sanshray Foods,08021100,7.0|12.0
AMBEMOHAR RICE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_11010000_AMBEMOHAR_RICE,SANSHRAY_FOODS_RAW_MATERIAL_11010000_AMBEMOHAR_RICE,SANSHRAY_FOODS_GROCERY_11010000_AMBEMOHAR_RICE,7.0,Sanshray Foods,11010000,7.0|12.0
BADISHEP (FENNEL SEEDS),2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_09096139_BADISHEP_FENNEL_SEEDS,SANSHRAY_FOODS_RAW_MATERIAL_09096139_BADISHEP_FENNEL_SEEDS,SANSHRAY_FOODS_GROCERY_09096139_BADISHEP_FENNEL_SEEDS,7.0,Sanshray Foods,09096139,7.0|3.0
BLACK SALT 1KG,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_25010010_BLACK_SALT_1KG,SANSHRAY_FOODS_RAW_MATERIAL_25010010_BLACK_SALT_1KG,SANSHRAY_FOODS_GROCERY_25010010_BLACK_SALT_1KG,7.0,Sanshray Foods,25010010,7.0|52.0
BROWN CHANA LOOSE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07132000_BROWN_CHANA_LOOSE,SANSHRAY_FOODS_RAW_MATERIAL_07132000_BROWN_CHANA_LOOSE,SANSHRAY_FOODS_GROCERY_07132000_BROWN_CHANA_LOOSE,7.0,Sanshray Foods,07132000,7.0|5.88
CHANA DAL LOOSE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07132000_CHANA_DAL_LOOSE,SANSHRAY_FOODS_RAW_MATERIAL_07132000_CHANA_DAL_LOOSE,SANSHRAY_FOODS_GROCERY_07132000_CHANA_DAL_LOOSE,7.0,Sanshray Foods,07132000,7.0|2.4
CHAWLI DAAL,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07132000_CHAWLI_DAAL,SANSHRAY_FOODS_RAW_MATERIAL_07132000_CHAWLI_DAAL,SANSHRAY_FOODS_GROCERY_07132000_CHAWLI_DAAL,7.0,Sanshray Foods,07132000,7.0|7.66
CHAWLI LOOSE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07132000_CHAWLI_LOOSE,SANSHRAY_FOODS_RAW_MATERIAL_07132000_CHAWLI_LOOSE,SANSHRAY_FOODS_GROCERY_07132000_CHAWLI_LOOSE,7.0,Sanshray Foods,07132000,7.0|4.76
CHOTU MASOORI RICE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_10063020_CHOTU_MASOORI_RICE,SANSHRAY_FOODS_RAW_MATERIAL_10063020_CHOTU_MASOORI_RICE,SANSHRAY_FOODS_GROCERY_10063020_CHOTU_MASOORI_RICE,7.0,Sanshray Foods,10063020,7.0|24.25
CORNFLOUR LOOSE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_11081200_CORNFLOUR_LOOSE,SANSHRAY_FOODS_RAW_MATERIAL_11081200_CORNFLOUR_LOOSE,SANSHRAY_FOODS_GROCERY_11081200_CORNFLOUR_LOOSE,7.0,Sanshray Foods,11081200,7.0|22.99
DALDA (1LTR),2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_15162091_DALDA_1LTR,SANSHRAY_FOODS_RAW_MATERIAL_15162091_DALDA_1LTR,SANSHRAY_FOODS_GROCERY_15162091_DALDA_1LTR,7.0,Sanshray Foods,15162091,7.0|3.14
DHANA WHOLE (Coriander Seeds),2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_09092190_DHANA_WHOLE_CORIANDER_SEEDS,SANSHRAY_FOODS_RAW_MATERIAL_09092190_DHANA_WHOLE_CORIANDER_SEEDS,SANSHRAY_FOODS_GROCERY_09092190_DHANA_WHOLE_CORIANDER_SEEDS,7.0,Sanshray Foods,09092190,7.0|14.0
ENO,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_30049011_ENO,SANSHRAY_FOODS_RAW_MATERIAL_30049011_ENO,SANSHRAY_FOODS_GROCERY_30049011_ENO,7.0,Sanshray Foods,30049011,7.0|15.5
EVEREST KASHMIRI CHILLY POWDER,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_09109100_EVEREST_KASHMIRI_CHILLY_POWDER,SANSHRAY_FOODS_RAW_MATERIAL_09109100_EVEREST_KASHMIRI_CHILLY_POWDER,SANSHRAY_FOODS_GROCERY_09109100_EVEREST_KASHMIRI_CHILLY_POWDER,7.0,Sanshray Foods,09109100,7.0|6.0
FARSAN,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_21069099_FARSAN,SANSHRAY_FOODS_RAW_MATERIAL_21069099_FARSAN,SANSHRAY_FOODS_GROCERY_21069099_FARSAN,7.0,Sanshray Foods,21069099,7.0|7.5
GREEN MOONG LOOSE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07132000_GREEN_MOONG_LOOSE,SANSHRAY_FOODS_RAW_MATERIAL_07132000_GREEN_MOONG_LOOSE,SANSHRAY_FOODS_GROCERY_07132000_GREEN_MOONG_LOOSE,7.0,Sanshray Foods,07132000,7.0|7.8
GUD BLACK,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_17011310_GUD_BLACK,SANSHRAY_FOODS_RAW_MATERIAL_17011310_GUD_BLACK,SANSHRAY_FOODS_GROCERY_17011310_GUD_BLACK,7.0,Sanshray Foods,17011310,7.0|17.0
HEAVEN HARVEST BASMATI RICE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_10063010_HEAVEN_HARVEST_BASMATI_RICE,SANSHRAY_FOODS_RAW_MATERIAL_10063010_HEAVEN_HARVEST_BASMATI_RICE,SANSHRAY_FOODS_GROCERY_10063010_HEAVEN_HARVEST_BASMATI_RICE,7.0,Sanshray Foods,10063010,7.0|8.6
IMLI,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_08109020_IMLI,SANSHRAY_FOODS_RAW_MATERIAL_08109020_IMLI,SANSHRAY_FOODS_GROCERY_08109020_IMLI,7.0,Sanshray Foods,08109020,7.0|7.2
JEERA (CUMMIN SEEDS),2,all-7-keep-one,SANSHRAY_FOODS_GROCERY_09093129_JEERA_CUMMIN_SEEDS,SANSHRAY_FOODS_GROCERY_09093129_JEERA_CUMMIN_SEEDS,SANSHRAY_FOODS_RAW_MATERIAL_09093129_JEERA_CUMMIN_SEEDS,7.0,Sanshray Foods,09093129,7.0|7.0
KABULI CHANA LOOSE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07132000_KABULI_CHANA_LOOSE,SANSHRAY_FOODS_RAW_MATERIAL_07132000_KABULI_CHANA_LOOSE,SANSHRAY_FOODS_GROCERY_07132000_KABULI_CHANA_LOOSE,7.0,Sanshray Foods,07132000,7.0|4.37
KAJU TUKDA,2,all-7-keep-one,SANSHRAY_FOODS_GROCERY_08013100_KAJU_TUKDA,SANSHRAY_FOODS_GROCERY_08013100_KAJU_TUKDA,SANSHRAY_FOODS_RAW_MATERIAL_08013100_KAJU_TUKDA,7.0,Sanshray Foods,08013100,7.0|7.0
KAJUKANI BHARI,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_08013210_KAJUKANI_BHARI,SANSHRAY_FOODS_RAW_MATERIAL_08013210_KAJUKANI_BHARI,SANSHRAY_FOODS_GROCERY_08013210_KAJUKANI_BHARI,7.0,Sanshray Foods,08013210,7.0|8.0
KALINGAD MAGAJ (1KG),2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_12077090_KALINGAD_MAGAJ_1KG,SANSHRAY_FOODS_RAW_MATERIAL_12077090_KALINGAD_MAGAJ_1KG,SANSHRAY_FOODS_GROCERY_12077090_KALINGAD_MAGAJ_1KG,7.0,Sanshray Foods,12077090,7.0|6.9
KASHMIRI CHILLY WHOLE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_09042110_KASHMIRI_CHILLY_WHOLE,SANSHRAY_FOODS_RAW_MATERIAL_09042110_KASHMIRI_CHILLY_WHOLE,SANSHRAY_FOODS_GROCERY_09042110_KASHMIRI_CHILLY_WHOLE,7.0,Sanshray Foods,09042110,7.0|20.0
KHADHI SHAKAR RAVALGAON,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_08041020_KHADHI_SHAKAR_RAVALGAON,SANSHRAY_FOODS_RAW_MATERIAL_08041020_KHADHI_SHAKAR_RAVALGAON,SANSHRAY_FOODS_GROCERY_08041020_KHADHI_SHAKAR_RAVALGAON,7.0,Sanshray Foods,08041020,7.0|3.33
KHAJUR SEEDLESS,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_MANUAL_KHAJUR_SEEDLESS,SANSHRAY_FOODS_RAW_MATERIAL_MANUAL_KHAJUR_SEEDLESS,SANSHRAY_FOODS_GROCERY_08041090_KHAJUR_SEEDLESS,7.0,Sanshray Foods,08041090,7.0|6.0
KHOBRA KHIS,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_08011100_KHOBRA_KHIS,SANSHRAY_FOODS_RAW_MATERIAL_08011100_KHOBRA_KHIS,SANSHRAY_FOODS_GROCERY_08011100_KHOBRA_KHIS,7.0,Sanshray Foods,08011100,7.0|30.0
KIRTIGOLD SUNFLOWER TIN (,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_15121910_KIRTIGOLD_SUNFLOWER_TIN,SANSHRAY_FOODS_RAW_MATERIAL_15121910_KIRTIGOLD_SUNFLOWER_TIN,SANSHRAY_FOODS_GROCERY_15121910_KIRTIGOLD_SUNFLOWER_TIN,7.0,Sanshray Foods,15121910,7.0|0.4
KOKAM SYRUP (1LTR),2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_20089914_KOKAM_SYRUP_1LTR,SANSHRAY_FOODS_RAW_MATERIAL_20089914_KOKAM_SYRUP_1LTR,SANSHRAY_FOODS_GROCERY_20089914_KOKAM_SYRUP_1LTR,7.0,Sanshray Foods,20089914,7.0|11.03
LAVANG (CLOVE),2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_09071010_LAVANG_CLOVE,SANSHRAY_FOODS_RAW_MATERIAL_09071010_LAVANG_CLOVE,SANSHRAY_FOODS_GROCERY_09071010_LAVANG_CLOVE,7.0,Sanshray Foods,09071010,7.0|9.63
LG HING (50GM),2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_13019013_LG_HING_50GM,SANSHRAY_FOODS_RAW_MATERIAL_13019013_LG_HING_50GM,SANSHRAY_FOODS_GROCERY_13019013_LG_HING_50GM,7.0,Sanshray Foods,13019013,7.0|16.5
MANAMA LIME & MINT MOJITO,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_20089911_MANAMA_LIME_MINT_MOJITO,SANSHRAY_FOODS_RAW_MATERIAL_20089911_MANAMA_LIME_MINT_MOJITO,SANSHRAY_FOODS_GROCERY_20089911_MANAMA_LIME_MINT_MOJITO,7.0,Sanshray Foods,20089911,7.0|5.74
MANAMA ORANGE SYRUP,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_20089919_MANAMA_ORANGE_SYRUP,SANSHRAY_FOODS_RAW_MATERIAL_20089919_MANAMA_ORANGE_SYRUP,SANSHRAY_FOODS_GROCERY_20089911_MANAMA_ORANGE_SYRUP,7.0,Sanshray Foods,20089911,7.0|4.62
MASALA ELAICHI,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_09083110_MASALA_ELAICHI,SANSHRAY_FOODS_RAW_MATERIAL_09083110_MASALA_ELAICHI,SANSHRAY_FOODS_GROCERY_09083110_MASALA_ELAICHI,7.0,Sanshray Foods,09083110,7.0|3.67
METHI SEEDS,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_09109912_METHI_SEEDS,SANSHRAY_FOODS_RAW_MATERIAL_09109912_METHI_SEEDS,SANSHRAY_FOODS_GROCERY_09109912_METHI_SEEDS,7.0,Sanshray Foods,09109912,7.0|4.55
MOONG DAL LOOSE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07132000_MOONG_DAL_LOOSE,SANSHRAY_FOODS_RAW_MATERIAL_07132000_MOONG_DAL_LOOSE,SANSHRAY_FOODS_GROCERY_07132000_MOONG_DAL_LOOSE,7.0,Sanshray Foods,07132000,7.0|3.82
MOONGDAL CHILKA,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07132000_MOONGDAL_CHILKA,SANSHRAY_FOODS_RAW_MATERIAL_07132000_MOONGDAL_CHILKA,SANSHRAY_FOODS_GROCERY_07132000_MOONGDAL_CHILKA,7.0,Sanshray Foods,07132000,7.0|7.39
OVA AJWAIN,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_09109914_OVA_AJWAIN,SANSHRAY_FOODS_RAW_MATERIAL_09109914_OVA_AJWAIN,SANSHRAY_FOODS_GROCERY_09109914_OVA_AJWAIN,7.0,Sanshray Foods,09109914,7.0|24.0
RAJMA REGULAR LOOSE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07132000_RAJMA_REGULAR_LOOSE,SANSHRAY_FOODS_RAW_MATERIAL_07132000_RAJMA_REGULAR_LOOSE,SANSHRAY_FOODS_GROCERY_07132000_RAJMA_REGULAR_LOOSE,7.0,Sanshray Foods,07132000,7.0|4.46
SAMOSA PAPAD NOBLE 1KG PACKING,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_19059030_SAMOSA_PAPAD_NOBLE_1KG_PACKING,SANSHRAY_FOODS_RAW_MATERIAL_19059030_SAMOSA_PAPAD_NOBLE_1KG_PACKING,SANSHRAY_FOODS_GROCERY_19059030_SAMOSA_PAPAD_NOBLE_1KG_PACKING,7.0,Sanshray Foods,19059030,7.0|12.0
SAMRAT ATTA LOOSE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_11010000_SAMRAT_ATTA_LOOSE,SANSHRAY_FOODS_RAW_MATERIAL_11010000_SAMRAT_ATTA_LOOSE,SANSHRAY_FOODS_GROCERY_11010000_SAMRAT_ATTA_LOOSE,7.0,Sanshray Foods,11010000,7.0|10.15
SAMRAT MAIDA,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_11010000_SAMRAT_MAIDA,SANSHRAY_FOODS_RAW_MATERIAL_11010000_SAMRAT_MAIDA,SANSHRAY_FOODS_GROCERY_11010000_SAMRAT_MAIDA,7.0,Sanshray Foods,11010000,7.0|9.72
SUGAR,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_17011490_SUGAR,SANSHRAY_FOODS_RAW_MATERIAL_17011490_SUGAR,SANSHRAY_FOODS_GROCERY_17011490_SUGAR,7.0,Sanshray Foods,17011490,7.0|2.5
SUJI RAVA,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_11010000_SUJI_RAVA,SANSHRAY_FOODS_RAW_MATERIAL_11010000_SUJI_RAVA,SANSHRAY_FOODS_GROCERY_11010000_SUJI_RAVA,7.0,Sanshray Foods,11010000,7.0|2.62
TATA SALT 1KG,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_28276090_TATA_SALT_1KG,SANSHRAY_FOODS_RAW_MATERIAL_28276090_TATA_SALT_1KG,SANSHRAY_FOODS_GROCERY_28276090_TATA_SALT_1KG,7.0,Sanshray Foods,28276090,7.0|3.3
TOORDAL PRESIDENT LOOSE,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07136000_TOORDAL_PRESIDENT_LOOSE,SANSHRAY_FOODS_RAW_MATERIAL_07136000_TOORDAL_PRESIDENT_LOOSE,SANSHRAY_FOODS_GROCERY_07136000_TOORDAL_PRESIDENT_LOOSE,7.0,Sanshray Foods,07136000,7.0|10.44
UDID DAL BHAARI,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_07132000_UDID_DAL_BHAARI,SANSHRAY_FOODS_RAW_MATERIAL_07132000_UDID_DAL_BHAARI,SANSHRAY_FOODS_GROCERY_07132000_UDID_DAL_BHAARI,7.0,Sanshray Foods,07132000,7.0|5.65
WHITE SESAME TILL,2,mixed-margin-delete-default-7,SANSHRAY_FOODS_RAW_MATERIAL_12074090_WHITE_SESAME_TILL,SANSHRAY_FOODS_RAW_MATERIAL_12074090_WHITE_SESAME_TILL,SANSHRAY_FOODS_GROCERY_12074090_WHITE_SESAME_TILL,7.0,Sanshray Foods,12074090,7.0|14.0
